,tweet,polarity,evaluation
0,RT @JesseKellyDC: Remember when a bunch of Democrat mayors let their own cities get trashed by ANTIFA/BLM terrorists so Joe Biden could win…,0.6,Positive
1,@yellowdaisyami And that's just the carry-on...,0.0,Neutral
2,"@ShopeeID Bismillah semoga menang 🙏🏻😔
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET

#HadiahSmartphoneDariShopee 
#HadiahSmartphoneDariShopee 
#HadiahSmartphoneDariShopee

3286",0.0,Neutral
3,the weeds REQUEST @dimash_official @MTV #FridayLivestream,0.0,Neutral
4,RT @MegaTronn85: Last time ima say this and I’m full Jamaican born and raised ...Haitian food is smack. Untouchable...stop the shits 😂😂,0.175,Positive
5,believe it or not,0.0,Neutral
6,RT @HunterThore: Happy Birthday to my wonderful sister @whitneywaythore ! You are truly an inspiration! Love you! Have a great day! #birthd…,0.85625,Positive
7,"RT @dykesan_: YALL USE #MC_Yeosang TO CELEBRATE AND SEND GOOD MESSAGES FOR YEOSANG, HIS FIRST DAY AS AN MC WILL BE ON MARCH 2nd THE FIRST D…",0.3,Positive
8,@LindaZBraden @SawyerHackett @tedcruz @GeneforTexas @Juan_Gomez18 Flying over the Wall that he supported. Isn’t that ironic?,0.2,Positive
9,@Ghumrah1 @virendersehwag He performs or not RCB fans will always support and watch rcb  😍😍@Gumrah 1,0.0,Neutral
10,@peachvintxqe aw thank you!!,0.0,Neutral
11,RT @kikiinotkim: Love is hella funny 😂😳 bitch this shit crack,0.18333333333333335,Positive
12,"Cate Blanchett at the Berlinale Film Festival,  2020...❤ https://t.co/5yVwUCBRjk",0.0,Neutral
13,"RT @AriBerman: Georgia House Republicans just introduced a bill to ban early voting on Sundays prior to election, when Black churches do So…",-0.022222222222222216,Negative
14,"RT @kurteichenwald: We should not just focus on the disregard of Texans's suffering by @tedcruz, @JohnCornyn, and @GregAbbott_TX (who added…",0.0,Neutral
15,RT @ReggieBushed: No wonder y’all rent is like $1.45 the house made outta styrofoam and prayers. I thought this was a murder scene at first…,0.0,Neutral
16,RT @renee_madeline: Try being a good senator smh,0.7,Positive
17,@DailyCaller @tedcruz glad you are fortunate enough to be able to just escape this bullshit that you are responsible for😂 I am begging. PLEASE RESIGN.,0.31999999999999995,Positive
18,RT @RepMattGaetz: Pelosi hired a bigot to hunt MAGA. https://t.co/uBsksGZXfs,0.0,Neutral
19,"RT @CultureCrave: Paul Bettany on the mystery cameo in #WandaVision 👀

""People seem to think [it's] Doctor Strange. Truth is ... There is o…",-0.05,Negative
20,@narendramodi .grandson of Rahul Gandhi..is the real reason for petrol price increase..not really Congress or UPA,0.2,Positive
21,THE POWER THEY HOLD https://t.co/X16uZJJbAN,0.0,Neutral
22,Why is the “gods” in “slayers of dragons and gods” missing it’s driving me up the wall #criticalrole https://t.co/WgcHgdWm7p,-0.2,Negative
23,RT @DammmmmnGirl_: bitch this yo second time leaving me if we ain cool nomore just say that 🤝,0.175,Positive
